location,total_sqft,bhk,bath,balcony,age_years,furnishing,parking,price_lakhs
Indiranagar,981,2,2,1,19.0,Semi-Furnished,1,93.84
Jayanagar,1101,2,2,1,5.3,Unfurnished,1,92.42
BTM Layout,2168,4,3,1,3.0,Furnished,0,166.69
Hebbal,593,2,1,0,9.7,Semi-Furnished,1,39.3
JP Nagar,2253,4,4,0,4.5,Semi-Furnished,1,148.0
Yelahanka,815,1,1,2,1.7,Semi-Furnished,0,41.78
Hebbal,1342,3,3,3,1.4,Furnished,1,106.03
JP Nagar,1954,4,5,2,3.0,Semi-Furnished,1,149.63
Koramangala,982,2,1,0,11.8,Unfurnished,1,94.2
Jayanagar,937,2,3,0,0.4,Semi-Furnished,1,88.13
Indiranagar,1084,2,2,0,1.5,Furnished,1,119.31
Sarjapur Road,1208,3,2,2,13.4,Semi-Furnished,1,72.8
Sarjapur Road,1332,3,3,2,0.8,Furnished,1,92.19
Whitefield,1731,3,3,0,6.0,Furnished,1,124.65
Hebbal,911,2,2,1,1.4,Semi-Furnished,1,67.3
BTM Layout,1237,2,2,1,5.6,Unfurnished,1,87.82
Indiranagar,653,1,2,4,2.9,Unfurnished,1,60.25
Marathahalli,779,2,1,0,0.6,Semi-Furnished,0,49.07
BTM Layout,1595,3,2,0,5.2,Unfurnished,0,103.97
Whitefield,2082,4,5,0,6.9,Semi-Furnished,1,121.36
Hebbal,1432,3,3,1,6.8,Semi-Furnished,0,97.83
Koramangala,1087,2,1,2,6.1,Unfurnished,0,103.31
BTM Layout,2171,4,4,1,4.2,Semi-Furnished,1,189.04
Sarjapur Road,1606,3,3,1,4.4,Semi-Furnished,1,96.84
Sarjapur Road,2277,4,3,2,6.1,Unfurnished,1,135.09
Jayanagar,1561,3,3,1,7.0,Unfurnished,0,130.4
BTM Layout,844,2,2,0,6.4,Furnished,0,65.37
JP Nagar,529,1,1,1,5.3,Unfurnished,1,36.75
Koramangala,1941,3,4,2,1.0,Unfurnished,1,182.96
JP Nagar,1159,2,3,0,1.4,Unfurnished,1,82.19
Whitefield,1405,2,1,3,1.8,Unfurnished,1,87.4
Marathahalli,1709,3,3,1,15.1,Semi-Furnished,1,92.51
Indiranagar,1536,3,4,1,8.5,Unfurnished,0,142.37
Indiranagar,1545,3,4,2,4.8,Furnished,1,151.56
Electronic City,1045,2,3,0,1.7,Unfurnished,0,45.56
Hebbal,789,2,2,3,0.7,Semi-Furnished,0,61.13
Koramangala,1503,3,4,1,13.7,Unfurnished,1,126.8
Hebbal,2982,5,4,1,13.4,Furnished,0,215.96
Whitefield,1410,3,2,3,0.7,Semi-Furnished,1,99.93
Koramangala,2162,4,4,1,9.6,Furnished,1,279.23
Jayanagar,1628,3,3,0,3.6,Semi-Furnished,1,140.49
JP Nagar,1364,3,2,1,2.3,Semi-Furnished,1,114.19
Koramangala,982,2,2,2,8.1,Furnished,1,126.46
Marathahalli,1347,3,4,0,5.7,Unfurnished,1,78.52
BTM Layout,1377,3,3,1,9.1,Semi-Furnished,1,107.85
Marathahalli,1307,3,3,0,0.5,Unfurnished,1,75.62
Indiranagar,915,2,2,2,2.3,Semi-Furnished,1,98.48
Whitefield,1713,3,2,1,2.3,Furnished,1,114.48
BTM Layout,913,2,2,1,2.4,Furnished,1,74.95
Whitefield,1519,3,3,1,4.2,Unfurnished,1,91.24
BTM Layout,975,2,3,3,2.0,Unfurnished,1,66.8
Jayanagar,1677,3,4,2,3.5,Unfurnished,0,134.2
Sarjapur Road,1247,2,3,2,2.8,Unfurnished,1,73.55
JP Nagar,730,1,1,1,8.0,Unfurnished,1,58.52
Sarjapur Road,1096,2,2,4,5.6,Unfurnished,1,50.36
Koramangala,1465,3,4,1,6.4,Furnished,0,194.26
JP Nagar,871,2,2,4,1.4,Semi-Furnished,1,68.38
HSR Layout,1342,2,3,3,2.4,Semi-Furnished,0,136.22
Jayanagar,1386,3,3,3,0.1,Semi-Furnished,1,137.92
Marathahalli,1150,2,2,3,0.7,Semi-Furnished,1,79.81
BTM Layout,2259,4,4,1,1.8,Furnished,1,178.92
Sarjapur Road,2017,4,4,0,0.4,Semi-Furnished,1,120.02
JP Nagar,1656,3,3,2,5.5,Unfurnished,0,113.56
HSR Layout,1165,2,3,0,37.7,Semi-Furnished,1,79.98
HSR Layout,1759,3,3,1,0.6,Furnished,0,198.56
Hebbal,530,1,2,3,10.3,Unfurnished,1,34.38
Koramangala,857,2,2,1,0.8,Semi-Furnished,1,86.5
Electronic City,974,2,3,3,6.7,Unfurnished,0,37.74
Koramangala,2131,4,4,4,6.2,Unfurnished,1,191.11
Koramangala,609,1,2,2,14.0,Furnished,1,67.94
Koramangala,1441,3,3,0,0.7,Unfurnished,0,153.04
Indiranagar,1214,3,3,0,2.3,Unfurnished,1,112.34
Whitefield,1121,2,3,2,0.6,Unfurnished,1,66.7
Whitefield,896,1,1,0,3.1,Furnished,0,58.65
Sarjapur Road,2870,5,6,1,14.6,Unfurnished,0,140.99
HSR Layout,1591,3,4,0,9.1,Furnished,1,168.37
HSR Layout,1586,3,4,2,7.7,Unfurnished,1,146.78
Yelahanka,1110,2,1,1,4.6,Furnished,0,70.12
Indiranagar,1190,2,2,1,12.9,Furnished,0,120.67
Sarjapur Road,1109,2,2,0,3.6,Unfurnished,1,63.6
JP Nagar,553,1,1,2,1.0,Unfurnished,1,36.51
Electronic City,481,1,2,0,10.9,Unfurnished,0,18.31
HSR Layout,2063,4,4,2,2.0,Semi-Furnished,1,196.85
BTM Layout,1097,2,2,1,0.3,Unfurnished,1,72.94
Sarjapur Road,1003,2,2,1,0.8,Unfurnished,1,53.87
Jayanagar,1547,3,3,1,5.6,Unfurnished,1,125.07
Marathahalli,1566,3,2,1,5.6,Unfurnished,1,84.04
Indiranagar,725,1,2,1,1.8,Unfurnished,0,81.85
Sarjapur Road,1692,3,3,2,7.8,Furnished,0,104.71
Indiranagar,612,1,1,1,8.9,Furnished,1,75.55
Sarjapur Road,404,1,1,1,15.2,Unfurnished,1,22.01
Yelahanka,548,1,2,1,5.3,Semi-Furnished,1,27.57
Marathahalli,2107,4,4,0,9.1,Semi-Furnished,0,118.47
Jayanagar,325,1,1,4,8.4,Semi-Furnished,1,27.07
Indiranagar,808,1,1,2,1.8,Semi-Furnished,1,84.01
Indiranagar,1071,2,2,3,2.2,Semi-Furnished,1,104.6
Indiranagar,2157,4,5,2,3.9,Semi-Furnished,1,220.41
Indiranagar,1255,2,2,0,0.1,Semi-Furnished,0,131.9
JP Nagar,955,2,2,0,2.1,Unfurnished,1,71.95
Koramangala,686,1,2,2,3.9,Unfurnished,1,73.19
Whitefield,1034,2,2,1,0.7,Unfurnished,1,61.76
Sarjapur Road,1472,3,3,0,0.8,Semi-Furnished,0,90.44
BTM Layout,1384,3,3,2,3.7,Unfurnished,1,94.64
BTM Layout,1300,2,1,1,7.9,Semi-Furnished,0,99.59
Sarjapur Road,994,2,1,2,10.8,Unfurnished,0,42.7
Indiranagar,705,1,2,2,4.7,Furnished,0,81.15
HSR Layout,769,2,2,1,3.9,Unfurnished,0,67.8
Hebbal,777,1,1,1,2.9,Semi-Furnished,1,54.42
Hebbal,1658,3,3,2,1.3,Semi-Furnished,1,120.4
Indiranagar,2815,5,5,3,1.0,Unfurnished,1,284.87
JP Nagar,2766,5,6,1,9.4,Unfurnished,0,199.9
Indiranagar,2160,4,3,2,3.8,Furnished,0,206.02
Indiranagar,1843,3,3,2,9.4,Unfurnished,1,175.8
Jayanagar,1236,3,3,2,7.3,Furnished,0,109.0
Marathahalli,1167,2,2,0,1.3,Furnished,0,82.32
Marathahalli,1363,3,2,1,4.3,Semi-Furnished,0,69.35
Electronic City,1047,2,2,3,3.5,Semi-Furnished,1,56.23
BTM Layout,1013,2,1,2,3.3,Semi-Furnished,1,71.69
Koramangala,1436,3,4,3,4.7,Semi-Furnished,1,177.66
Indiranagar,1048,2,3,1,24.1,Furnished,1,100.11
BTM Layout,880,2,1,1,10.1,Unfurnished,1,54.72
Sarjapur Road,2254,4,4,1,14.0,Unfurnished,1,114.49
BTM Layout,331,1,1,4,0.2,Unfurnished,0,24.45
JP Nagar,1131,2,2,2,0.9,Semi-Furnished,1,80.94
Yelahanka,2051,4,4,2,0.5,Unfurnished,0,102.87
Jayanagar,1324,3,2,1,1.8,Furnished,1,131.2
Electronic City,1530,3,3,0,3.5,Unfurnished,0,64.98
HSR Layout,816,2,1,3,6.2,Furnished,1,83.82
HSR Layout,1056,2,2,1,4.2,Unfurnished,1,89.66
Koramangala,1887,4,3,1,14.0,Unfurnished,1,163.9
Hebbal,1569,3,3,2,16.9,Unfurnished,1,99.0
Jayanagar,1361,3,3,0,1.1,Unfurnished,1,120.42
Electronic City,532,1,1,3,11.5,Semi-Furnished,1,23.84
Indiranagar,644,1,1,0,3.9,Furnished,0,72.03
Yelahanka,2684,5,4,2,3.6,Unfurnished,1,138.73
Electronic City,1041,2,2,1,9.2,Semi-Furnished,0,48.05
JP Nagar,1273,3,4,2,0.6,Unfurnished,1,84.05
Jayanagar,695,1,2,2,12.8,Unfurnished,1,45.37
Jayanagar,1765,3,2,1,6.7,Semi-Furnished,1,172.35
Marathahalli,2519,4,4,0,12.5,Unfurnished,1,119.64
JP Nagar,1514,3,3,2,31.2,Furnished,1,92.75
Koramangala,1168,2,2,0,4.4,Semi-Furnished,1,126.5
Yelahanka,1233,3,2,1,0.6,Unfurnished,1,54.16
Marathahalli,1725,3,4,0,1.1,Semi-Furnished,1,106.77
Koramangala,1166,2,3,2,2.3,Unfurnished,1,115.62
BTM Layout,2027,4,3,1,0.7,Semi-Furnished,1,153.66
JP Nagar,1686,3,4,0,10.1,Furnished,1,142.41
Yelahanka,2062,4,3,1,2.1,Furnished,1,116.55
JP Nagar,1431,3,4,1,22.3,Unfurnished,1,87.32
BTM Layout,1121,2,3,0,7.3,Unfurnished,1,78.66
Hebbal,890,2,1,2,1.1,Semi-Furnished,1,71.24
JP Nagar,1203,2,1,1,3.9,Furnished,1,114.53
Hebbal,1942,4,5,1,3.8,Furnished,1,155.5
Yelahanka,1342,3,4,2,4.1,Unfurnished,1,74.53
Marathahalli,1364,3,3,2,4.6,Semi-Furnished,0,84.34
Hebbal,1164,2,2,0,0.2,Furnished,1,87.31
Indiranagar,957,2,1,3,7.0,Unfurnished,1,81.38
BTM Layout,1298,3,2,1,4.0,Furnished,0,98.17
BTM Layout,959,2,2,0,9.4,Unfurnished,1,70.08
Whitefield,1045,2,2,1,10.1,Unfurnished,1,55.91
JP Nagar,1323,3,4,0,1.6,Unfurnished,1,86.54
Indiranagar,427,1,2,0,0.3,Semi-Furnished,1,45.62
Koramangala,1367,2,2,1,7.3,Furnished,0,133.44
Hebbal,921,2,2,1,22.8,Semi-Furnished,0,50.46
Indiranagar,1002,2,2,1,3.6,Unfurnished,1,92.2
JP Nagar,2745,5,5,1,1.8,Unfurnished,0,196.83
JP Nagar,987,2,3,2,1.0,Semi-Furnished,0,83.23
Jayanagar,1143,2,2,2,2.0,Semi-Furnished,1,108.62
Whitefield,1192,2,2,3,2.4,Semi-Furnished,1,69.88
Koramangala,1454,3,4,0,3.3,Unfurnished,1,149.19
Marathahalli,865,2,3,2,6.4,Semi-Furnished,0,50.9
Sarjapur Road,1691,3,4,1,1.9,Furnished,0,106.25
Yelahanka,586,1,2,0,0.3,Semi-Furnished,1,31.54
Koramangala,860,1,2,1,2.8,Semi-Furnished,1,86.4
Yelahanka,713,2,2,0,11.6,Furnished,1,35.03
Jayanagar,1529,3,4,0,4.1,Semi-Furnished,1,135.01
JP Nagar,2388,4,4,1,20.1,Semi-Furnished,1,126.97
Electronic City,547,1,1,2,4.2,Semi-Furnished,1,26.06
Hebbal,1466,3,3,0,1.9,Unfurnished,1,90.93
Jayanagar,2144,4,4,1,1.3,Semi-Furnished,1,204.81
Sarjapur Road,966,2,1,2,7.1,Furnished,1,62.91
Koramangala,1453,3,3,1,4.6,Unfurnished,1,142.81
Yelahanka,999,2,3,0,5.6,Furnished,1,61.35
BTM Layout,2006,4,4,1,8.4,Semi-Furnished,0,146.7
Electronic City,1684,3,4,0,7.8,Unfurnished,1,68.83
Sarjapur Road,2169,4,5,0,0.3,Semi-Furnished,0,124.92
Hebbal,1538,3,4,0,9.7,Unfurnished,1,108.57
Whitefield,1171,2,1,1,4.6,Furnished,1,81.59
Koramangala,2060,4,4,0,3.0,Semi-Furnished,0,237.68
Hebbal,934,2,3,0,4.6,Furnished,1,62.83
Whitefield,960,2,2,2,5.7,Semi-Furnished,0,57.79
Marathahalli,1500,3,3,1,1.0,Semi-Furnished,1,83.26
Koramangala,1341,3,3,3,3.2,Furnished,1,163.27
Marathahalli,2025,4,3,1,2.5,Unfurnished,1,121.35
Whitefield,973,2,1,2,2.6,Semi-Furnished,1,69.62
BTM Layout,1819,3,3,3,0.6,Unfurnished,1,121.37
Sarjapur Road,1084,3,2,3,1.0,Furnished,0,66.0
Sarjapur Road,573,1,1,2,1.1,Semi-Furnished,1,34.22
Hebbal,1309,2,2,1,2.8,Furnished,1,98.04
Indiranagar,1068,2,2,1,13.5,Furnished,1,118.67
Hebbal,1163,2,3,0,1.4,Unfurnished,1,81.33
Whitefield,2815,5,5,1,3.2,Unfurnished,0,160.45
Whitefield,1400,3,3,1,2.2,Semi-Furnished,0,89.89
Koramangala,1164,3,4,2,9.3,Semi-Furnished,1,125.27
Jayanagar,2831,5,5,2,0.3,Unfurnished,0,218.33
JP Nagar,934,2,3,0,1.3,Unfurnished,1,70.28
Yelahanka,1380,3,4,1,1.4,Semi-Furnished,1,70.54
HSR Layout,975,2,2,1,29.7,Unfurnished,1,68.54
Koramangala,2362,4,4,2,5.1,Furnished,0,291.72
Sarjapur Road,1411,2,3,1,0.9,Furnished,1,86.9
HSR Layout,2133,4,5,3,1.9,Semi-Furnished,0,181.79
HSR Layout,980,2,2,3,1.1,Unfurnished,1,89.21
Indiranagar,873,2,2,1,0.8,Unfurnished,1,81.09
JP Nagar,1570,3,2,2,9.6,Semi-Furnished,0,112.96
Hebbal,1317,2,2,0,4.1,Furnished,0,102.97
Indiranagar,1463,3,4,2,6.0,Unfurnished,0,114.71
Electronic City,693,2,3,2,2.4,Unfurnished,1,31.75
Yelahanka,1601,3,4,1,4.8,Unfurnished,1,71.97
Yelahanka,1198,2,3,1,1.8,Semi-Furnished,1,64.83
Koramangala,362,1,1,0,2.2,Semi-Furnished,1,38.86
Sarjapur Road,1076,2,2,2,6.3,Unfurnished,1,55.17
Indiranagar,1118,2,1,0,1.0,Semi-Furnished,0,127.28
HSR Layout,1039,2,1,2,5.8,Semi-Furnished,0,96.27
Sarjapur Road,931,2,3,1,11.5,Semi-Furnished,1,55.61
HSR Layout,1202,2,1,3,0.8,Semi-Furnished,0,114.71
Yelahanka,539,1,2,1,13.7,Furnished,1,30.09
HSR Layout,1277,3,4,0,0.5,Semi-Furnished,0,126.9
Koramangala,1793,4,5,2,2.6,Semi-Furnished,1,208.82
Sarjapur Road,1239,2,1,2,5.7,Furnished,1,84.44
HSR Layout,1592,3,4,3,4.9,Furnished,1,170.34
BTM Layout,1513,3,2,3,0.6,Unfurnished,1,125.34
Indiranagar,984,2,2,2,9.6,Unfurnished,1,95.79
Indiranagar,1421,3,4,1,21.7,Furnished,1,128.51
Whitefield,889,2,2,1,1.2,Unfurnished,0,50.44
Yelahanka,1435,3,3,0,13.5,Furnished,1,77.5
HSR Layout,300,1,1,2,4.9,Unfurnished,0,25.44
BTM Layout,1390,3,3,2,16.5,Furnished,0,102.96
Jayanagar,1453,3,3,2,1.2,Semi-Furnished,1,139.93
Sarjapur Road,691,1,1,1,9.4,Semi-Furnished,1,35.07
Indiranagar,1044,2,2,0,0.4,Unfurnished,1,112.04
BTM Layout,2919,5,4,1,12.9,Furnished,1,213.95
JP Nagar,1252,2,3,3,6.7,Unfurnished,1,86.72
JP Nagar,1659,3,3,1,2.8,Unfurnished,1,116.35
JP Nagar,2171,4,4,0,1.3,Unfurnished,1,169.98
Hebbal,1502,3,3,1,10.2,Furnished,1,111.3
Marathahalli,1353,3,3,2,5.5,Semi-Furnished,0,74.6
Indiranagar,1611,3,3,1,2.7,Semi-Furnished,1,163.2
Whitefield,2352,4,5,2,3.5,Semi-Furnished,1,132.83
BTM Layout,1101,2,2,0,10.5,Furnished,0,77.27
Marathahalli,1338,2,2,1,2.5,Semi-Furnished,1,75.32
JP Nagar,821,2,2,2,0.6,Semi-Furnished,1,64.83
Jayanagar,2627,5,4,2,14.5,Semi-Furnished,0,215.22
Electronic City,1628,3,2,1,2.9,Semi-Furnished,1,77.93
Indiranagar,640,1,1,0,2.6,Unfurnished,0,64.77
Hebbal,2297,4,5,2,1.4,Unfurnished,1,173.11
HSR Layout,1048,2,1,4,13.7,Unfurnished,1,82.24
Indiranagar,470,1,1,1,1.5,Unfurnished,0,44.17
Jayanagar,1468,3,3,2,6.1,Semi-Furnished,0,123.38
Whitefield,820,2,2,2,12.8,Semi-Furnished,0,39.16
Marathahalli,1931,4,3,0,0.2,Furnished,0,116.54
Koramangala,1196,2,2,4,10.6,Unfurnished,1,114.75
JP Nagar,1631,3,3,3,3.2,Semi-Furnished,1,126.97
Koramangala,1554,3,2,0,6.4,Semi-Furnished,0,168.25
HSR Layout,342,1,1,1,2.8,Unfurnished,1,31.59
Whitefield,2746,5,6,4,7.1,Semi-Furnished,1,150.77
Electronic City,1316,3,3,3,1.8,Furnished,0,66.62
HSR Layout,1226,2,2,2,0.1,Unfurnished,1,113.52
Jayanagar,962,2,2,3,17.7,Semi-Furnished,1,79.38
Marathahalli,1937,4,4,2,0.1,Unfurnished,0,116.48
Koramangala,1054,2,3,2,10.4,Unfurnished,1,103.51
Hebbal,954,2,1,3,1.1,Semi-Furnished,1,77.37
BTM Layout,1273,2,2,0,3.0,Furnished,0,94.86
JP Nagar,940,2,1,1,10.4,Semi-Furnished,1,65.08
Whitefield,1290,3,3,3,1.4,Semi-Furnished,1,85.59
Jayanagar,727,2,2,2,12.0,Furnished,0,61.95
Electronic City,1045,2,2,1,4.1,Unfurnished,1,44.96
Koramangala,966,2,2,0,2.7,Semi-Furnished,0,118.64
Sarjapur Road,836,2,1,4,6.5,Semi-Furnished,1,49.39
Indiranagar,2278,4,5,4,2.5,Furnished,0,259.05
Jayanagar,1150,2,2,1,2.6,Semi-Furnished,1,97.4
Marathahalli,2796,5,5,2,7.9,Furnished,1,158.59
Hebbal,1255,2,2,0,2.2,Unfurnished,1,85.47
Jayanagar,1149,2,2,1,1.3,Semi-Furnished,0,108.22
Whitefield,1977,4,3,3,9.9,Semi-Furnished,1,115.91
Koramangala,894,2,1,1,9.8,Semi-Furnished,0,93.31
Jayanagar,1623,3,3,0,4.1,Semi-Furnished,1,159.02
Electronic City,2859,5,5,1,4.5,Unfurnished,0,127.11
Koramangala,625,1,1,2,7.1,Unfurnished,1,64.41
Whitefield,473,1,2,1,4.3,Unfurnished,0,27.34
Electronic City,1591,3,4,1,3.2,Furnished,1,72.84
HSR Layout,937,2,1,1,31.7,Furnished,1,72.2
Indiranagar,1035,2,3,0,1.0,Unfurnished,1,101.44
Marathahalli,817,1,1,0,5.4,Furnished,1,50.52
Hebbal,501,1,2,1,13.0,Unfurnished,1,32.46
JP Nagar,1264,3,3,0,7.0,Unfurnished,1,101.3
Indiranagar,892,2,2,1,12.8,Unfurnished,1,87.51
Indiranagar,1199,2,1,0,2.5,Furnished,1,139.33
Electronic City,1538,3,2,1,1.9,Semi-Furnished,1,75.35
Yelahanka,1031,2,3,0,11.4,Unfurnished,1,45.28
Hebbal,524,1,1,1,3.0,Semi-Furnished,1,42.43
Whitefield,1573,3,3,0,7.4,Unfurnished,0,76.45
Sarjapur Road,473,1,1,1,1.0,Unfurnished,1,28.03
Whitefield,1546,3,3,0,8.5,Unfurnished,1,89.93
Jayanagar,1990,4,4,3,4.8,Unfurnished,1,154.56
Hebbal,915,2,2,4,1.9,Furnished,1,73.01
BTM Layout,1404,3,3,0,4.1,Semi-Furnished,1,96.89
Hebbal,994,2,2,3,7.2,Unfurnished,1,60.28
JP Nagar,1043,2,2,1,0.1,Unfurnished,1,69.35
Koramangala,2135,4,4,1,6.1,Unfurnished,0,218.27
JP Nagar,1547,4,4,2,4.7,Unfurnished,0,116.24
Electronic City,929,2,1,1,1.5,Semi-Furnished,1,36.75
BTM Layout,1441,3,2,2,8.4,Unfurnished,1,108.87
Jayanagar,2326,4,4,1,2.2,Semi-Furnished,1,210.28
JP Nagar,2638,5,4,0,1.9,Unfurnished,0,190.84
HSR Layout,1524,3,3,1,3.8,Unfurnished,0,116.63
Yelahanka,1274,2,2,1,6.8,Furnished,1,77.52
Jayanagar,853,2,3,3,15.9,Unfurnished,1,65.67
Hebbal,2159,4,4,0,0.9,Unfurnished,0,155.06
Electronic City,930,2,1,1,3.0,Unfurnished,1,43.04
Whitefield,1424,3,4,1,0.4,Unfurnished,0,91.82
Koramangala,930,2,1,1,8.5,Unfurnished,0,84.4
Indiranagar,940,2,2,4,3.6,Unfurnished,0,85.47
BTM Layout,1458,2,2,2,7.4,Furnished,1,111.18
Indiranagar,2927,5,5,0,2.3,Semi-Furnished,1,325.78
Sarjapur Road,765,1,1,1,11.2,Semi-Furnished,0,41.56
Koramangala,1574,3,4,1,4.6,Semi-Furnished,0,183.1
Indiranagar,359,1,1,0,17.3,Semi-Furnished,1,35.58
JP Nagar,1109,2,2,2,0.5,Unfurnished,1,72.71
Yelahanka,1211,2,2,1,4.3,Unfurnished,0,61.44
Jayanagar,1372,3,3,2,8.7,Unfurnished,1,116.11
Jayanagar,1195,2,2,0,5.5,Semi-Furnished,0,98.56
Hebbal,1156,2,2,0,0.1,Unfurnished,0,79.28
Indiranagar,878,1,1,1,21.5,Unfurnished,1,71.2
Sarjapur Road,987,2,2,0,2.1,Unfurnished,1,56.85
Sarjapur Road,2635,5,6,1,1.7,Unfurnished,1,145.02
Yelahanka,2046,4,4,2,4.0,Unfurnished,1,102.18
Indiranagar,1265,2,3,0,4.7,Unfurnished,1,123.27
Yelahanka,1226,3,3,0,8.7,Unfurnished,1,55.22
Electronic City,1790,4,4,2,3.0,Unfurnished,0,74.35
Whitefield,613,1,1,2,3.5,Unfurnished,0,41.11
Koramangala,1434,3,4,4,4.6,Unfurnished,1,142.28
Jayanagar,2101,4,4,1,3.0,Unfurnished,1,171.81
BTM Layout,742,1,1,3,14.8,Semi-Furnished,1,48.33
Hebbal,967,2,1,0,11.4,Unfurnished,1,58.82
Hebbal,2519,5,4,0,3.6,Unfurnished,1,180.2
HSR Layout,1807,3,3,2,0.0,Unfurnished,1,173.66
Koramangala,450,1,1,1,13.9,Unfurnished,0,40.78
HSR Layout,891,2,3,0,0.8,Unfurnished,1,88.58
Sarjapur Road,1216,2,3,1,1.7,Furnished,1,85.58
Whitefield,1442,3,3,3,1.0,Furnished,1,100.66
BTM Layout,1490,3,3,3,1.2,Unfurnished,0,90.89
Marathahalli,2872,5,6,0,9.7,Semi-Furnished,1,179.83
HSR Layout,1213,2,2,0,5.2,Unfurnished,1,107.66
Hebbal,1450,3,3,2,18.8,Unfurnished,0,82.67
Jayanagar,1728,3,3,0,1.6,Semi-Furnished,0,146.14
BTM Layout,730,2,3,1,4.0,Unfurnished,0,52.33
BTM Layout,1164,2,2,0,22.7,Unfurnished,1,70.03
HSR Layout,2674,5,4,0,10.5,Semi-Furnished,1,238.09
Koramangala,2306,4,5,1,7.8,Semi-Furnished,0,222.1
Marathahalli,1071,2,1,1,1.3,Furnished,1,78.28
BTM Layout,1399,3,4,0,8.8,Semi-Furnished,1,107.16
Indiranagar,1149,2,1,1,2.6,Semi-Furnished,0,117.5
Marathahalli,1634,3,3,0,4.5,Unfurnished,1,74.68
Yelahanka,1596,3,4,1,5.6,Unfurnished,1,77.42
Hebbal,1346,3,4,0,5.6,Semi-Furnished,1,97.02
Indiranagar,2727,5,4,0,7.8,Furnished,0,274.21
Hebbal,1499,3,3,0,6.5,Unfurnished,0,100.24
BTM Layout,1044,2,3,2,0.4,Furnished,0,90.75
Indiranagar,1612,3,3,0,3.7,Unfurnished,1,159.28
Koramangala,748,2,1,0,6.5,Unfurnished,1,80.69
Sarjapur Road,1100,2,3,1,2.1,Unfurnished,0,55.31
Indiranagar,1007,2,2,1,2.3,Semi-Furnished,1,102.12
BTM Layout,924,2,2,1,0.8,Semi-Furnished,1,71.52
Jayanagar,1389,3,3,3,3.3,Unfurnished,1,110.31
Koramangala,1018,2,2,1,26.0,Furnished,0,101.98
BTM Layout,960,3,2,1,2.0,Semi-Furnished,1,70.53
HSR Layout,1395,3,4,1,4.5,Semi-Furnished,1,147.9
Jayanagar,919,2,1,3,8.2,Semi-Furnished,1,73.93
HSR Layout,1580,3,2,1,0.1,Unfurnished,1,166.05
Marathahalli,929,2,2,2,13.8,Semi-Furnished,0,57.08
Indiranagar,1018,2,2,0,2.9,Unfurnished,1,97.59
HSR Layout,1731,3,3,2,12.2,Unfurnished,1,154.43
Sarjapur Road,1199,2,2,0,0.2,Semi-Furnished,1,70.57
Koramangala,735,1,1,2,0.9,Furnished,0,94.06
Yelahanka,1425,3,3,2,2.3,Semi-Furnished,0,71.62
Koramangala,1581,3,3,2,2.5,Semi-Furnished,1,161.53
JP Nagar,1015,2,1,0,11.3,Semi-Furnished,1,56.2
Indiranagar,2771,5,5,1,0.1,Unfurnished,1,268.41
Sarjapur Road,1561,3,4,2,6.1,Furnished,1,102.33
HSR Layout,2010,4,4,0,0.8,Unfurnished,1,199.8
Koramangala,1274,2,2,2,10.4,Unfurnished,1,124.22
Electronic City,1476,3,3,2,9.0,Unfurnished,1,64.03
Indiranagar,2193,4,4,1,4.2,Unfurnished,1,202.73
Jayanagar,1718,3,4,2,1.4,Unfurnished,1,144.28
Koramangala,1655,3,3,2,6.0,Unfurnished,1,179.47
JP Nagar,839,2,2,2,1.0,Unfurnished,1,51.57
HSR Layout,667,1,1,0,1.3,Semi-Furnished,0,62.79
Koramangala,1178,2,2,2,5.9,Semi-Furnished,1,124.99
Marathahalli,1184,2,1,0,28.4,Semi-Furnished,0,60.61
Hebbal,1933,4,4,1,13.3,Unfurnished,1,115.91
Indiranagar,951,2,1,0,5.4,Semi-Furnished,1,100.6
Indiranagar,2949,5,4,0,4.6,Unfurnished,1,298.74
Whitefield,1986,4,3,2,38.6,Semi-Furnished,1,80.08
Hebbal,1005,2,2,1,4.8,Unfurnished,1,66.68
Yelahanka,1286,2,3,3,3.3,Semi-Furnished,1,66.77
Jayanagar,2093,4,4,1,14.4,Unfurnished,0,161.91
JP Nagar,2691,5,5,2,1.6,Semi-Furnished,1,224.99
JP Nagar,918,2,2,3,0.6,Furnished,1,79.41
Marathahalli,1100,2,3,2,6.0,Semi-Furnished,1,62.26
BTM Layout,1300,3,4,0,0.6,Unfurnished,1,101.58
Indiranagar,1463,3,4,3,2.8,Unfurnished,1,143.45
Electronic City,1100,2,1,1,3.3,Furnished,1,48.95
Koramangala,1695,3,4,1,4.8,Unfurnished,1,157.44
Whitefield,700,1,2,0,28.7,Furnished,1,40.35
Jayanagar,493,1,2,0,1.5,Unfurnished,1,38.59
Sarjapur Road,1227,2,2,1,2.8,Furnished,0,86.38
Whitefield,1005,2,2,0,0.9,Furnished,1,66.36
Indiranagar,865,2,2,1,5.6,Semi-Furnished,0,84.77
HSR Layout,1024,2,3,2,7.8,Unfurnished,1,90.62
BTM Layout,1266,2,2,3,3.9,Unfurnished,0,80.31
Koramangala,1075,2,2,1,1.7,Furnished,1,111.92
Jayanagar,1052,2,2,4,5.8,Furnished,1,102.3
Whitefield,3046,5,4,0,4.6,Unfurnished,1,167.64
Indiranagar,835,2,2,0,1.1,Unfurnished,1,82.44
Sarjapur Road,857,2,2,2,3.1,Furnished,1,54.91
